Product Name,Price,Website_name
LENOVO V15 G3 IAP | 12th GEN | Intel Core I3-1215U | 4GB RAM | 256GB SSD | 15.6″ FHD | Business Black | DOS,"Rs. 105,000",HB Computers
"Lenovo V15 G3 IAP Laptop - Intel Core i3-1215U 4GB DDR4 256GB SSD 15.6"" FHD, Laptop Bag | 82TT002GUE","Rs.116,500",Computer Zone
